country,count_of_players
Afghanistan,4
Croatia,113
Benin,15
Azerbaijan,5
Montenegro,20
France,853
Finland,64
Lebanon,1
Mali,38
Bulgaria,12
Fiji,1
Hong Kong,2
Zambia,9
Ukraine,72
Turkey,293
Mauritius,1
Spain,974
Poland,334
Faroe Islands,5
Hungary,21
South Africa,55
Nigeria,109
Trinidad & Tobago,3
United Arab Emirates,1
Germany,1151
Austria,286
Grenada,1
Czech Republic,93
Russia,67
Libya,4
Iran,17
Cape Verde,19
Italy,579
Haiti,10
Morocco,79
Liechtenstein,3
Botswana,1
Belarus,4
El Salvador,5
Colombia,570
Bermuda,1
Zimbabwe,13
Tanzania,3
Egypt,20
Sweden,384
Andorra,1
Chile,352
Northern Ireland,70
Guatemala,3
Eritrea,2
Bolivia,6
Dominican Republic,2
Sudan,3
St Kitts Nevis,3
Kosovo,32
Puerto Rico,1
Panama,15
Gabon,14
United States,336
Latvia,6
Mexico,332
Nicaragua,1
Estonia,12
Equatorial Guinea,5
Gambia,13
Comoros,6
Guam,1
Jamaica,32
Senegal,114
Oman,1
Guinea Bissau,14
Korea DPR,3
Iraq,6
Sierra Leone,6
Costa Rica,30
Angola,13
Uzbekistan,2
São Tomé & Príncipe,1
Suriname,4
Syria,9
Tunisia,29
Belgium,231
South Sudan,1
Guyana,3
Israel,13
Brazil,788
Kenya,10
Norway,333
Uganda,6
Kuwait,1
Wales,116
Saudi Arabia,313
Mozambique,4
Togo,11
Romania,38
Iceland,34
Madagascar,12
Jordan,1
Philippines,2
Cuba,4
Mauritania,3
Congo,22
Montserrat,4
Burkina Faso,16
Greece,98
Kazakhstan,4
Argentina,833
Denmark,322
Barbados,3
Guinea,30
Liberia,1
Indonesia,1
Ivory Coast,83
Moldova,5
Qatar,1
China PR,378
Curacao,13
Algeria,56
Armenia,9
FYR Macedonia,19
Niger,3
Paraguay,59
Ethiopia,1
New Zealand,34
Switzerland,205
Ghana,102
Thailand,5
England,1475
Cyprus,8
Bosnia Herzegovina,57
Peru,26
Portugal,290
Republic of Ireland,344
Chad,2
Cameroon,85
Scotland,269
Uruguay,133
Albania,37
Lithuania,8
DR Congo,48
Honduras,15
Serbia,116
Korea Republic,315
Belize,1
Rwanda,1
Georgia,25
Canada,58
Burundi,3
Venezuela,52
Antigua & Barbuda,4
Slovenia,48
Ecuador,28
Australia,224
Luxembourg,6
Japan,455
New Caledonia,1
Slovakia,50
Namibia,3
Netherlands,426
Central African Rep.,3
Palestine,1
